Entreprise,PER,ROE,Croissance CA,Dividende,Secteur,PB,beta
1000Mercis,20.134228,0.26943,0.012,,Communication Services,3.9200313,0.643
2Crsi,,,-0.883,0.1042,Technology,2.018682,2.708
A.S.T. Groupe,,-0.87684995,0.211,,Consumer Cyclical,0.43659422,1.418
Ab Science,,,0.25,,Healthcare,,1.193
Abc Arbitrage,17.089285,0.10401,0.126,0.083900005,Financial Services,1.7975206,0.247
Abeo,40.2,0.0184,,0.0197,Consumer Cyclical,0.68849766,0.952
Abionyx Pharma,,-0.4716,0.102,,Healthcare,4.309278,0.053
Abivax,,-1.71459,2.019,,Healthcare,4.044776,1.423
Abl Diagnostics,286.0,0.00804,-0.649,,Healthcare,6.8095236,-0.23
Abo Group,,,,,,,
Acanthe Dev.,,-0.10571,-0.009,0.6414,Real Estate,0.43419266,0.353
Accor,20.402655,0.12625,0.114,0.0256,Consumer Cyclical,3.265581,1.226
Acheter-Louer.Fr,,-3.34863,-0.475,,Communication Services,1.0064725,-1390.565
Acteos,,,-0.322,,Technology,,1.257
Actia Group,2.9347825,0.13208,-0.032,0.045300003,Consumer Cyclical,0.3717984,1.422
Acticor Biotech,,,,,Healthcare,,-0.354
Activium Group,,,,,Technology,,1.528647
Adc Siic,,-0.01901,1.098,,Real Estate,0.20385675,1.08
Adeunis,,-0.20801,-0.069,,Technology,0.5766063,0.538
Adocia,,,-0.63,,Healthcare,,0.612
Adomos,,-0.48041,-0.241,,Real Estate,0.00016488045,0.514
Adp,14.658945,0.20577,0.134,0.0336,Industrials,2.572558,1.31
Advicenne,,,0.039,,Healthcare,,1.106
Advini,,-0.15226,-0.02,0.0233,Consumer Defensive,0.714994,0.336
Aelis Farma,,-0.51973,-0.277,,Healthcare,3.4966888,0.206
Aerkomm Inc,,-1.36712,,,Technology,1.9525801,1.123
Affluent Medical,,,0.12,,Healthcare,1.2745098,0.575
Afyren,,-0.15956001,-0.303,,Basic Materials,0.9655172,0.416
Ag3I,,,,,Industrials,,0.01566
Agence Auto,58.0,,,,Consumer Cyclical,,
Agp Malaga Socimi,,,,,,,
Agripower,,-0.51633,-0.697,,Utilities,0.41771513,0.428
Agrogeneration,,-0.37185,-0.123,,Consumer Defensive,0.937037,0.504
Air France -Klm,6.2916665,1.69091,0.037,,Industrials,,1.787
Air Liquide,30.732449,0.12828,-0.043,0.018,Basic Materials,3.7792559,0.643
Airbus,37.58838,0.17836,0.053,0.0116,Industrials,6.4308205,1.529
Airwell,,-0.038039997,-0.208,,Consumer Cyclical,0.8669108,0.079
Akwel,5.7028985,0.05551,-0.031,0.0375,Consumer Cyclical,0.3433832,1.377
Alan Allman,24.0,0.05389,0.057,0.013300001,Industrials,2.1123898,-0.563
Alchimie,,,-0.318,,Communication Services,,0.596
Alpes (Compagnie),6.495652,0.10588,0.122,0.0626,Consumer Cyclical,0.68968695,1.482
Alpha Mos,3.5714285,6.23159,-0.226,,Technology,,-0.499
Alstom,,-0.02293,0.039,0.0135,Industrials,1.1552709,
Altamir,30.000002,,,,,,
Altarea,,-0.13587,-0.042,0.0842,Real Estate,1.2093406,1.228
Altareit,,-0.33473998,-0.057,,Real Estate,1.0740107,0.2
Alten,11.8109665,0.11939,0.029,0.0185,Technology,1.3374401,1.509
